Note,Titre,Commentaire,Date
1,Flew from Jeddah to Algiers on a airbus…,"Flew from Jeddah to Algiers on a airbus 330 for just 11 passengers. Seats and inside of the plane were absolutely filthy! Food was ok,the only good thing were the stewards, very polite. Spent 6 hours in the airport where the shops don't accept cards,only cash! Flight to Heathrow was delayed, no information and boarding gate changed without being told. Would never use again.","Sep 19, 2023"
5,Amazing food great staff,"Amazing food great staff
Amazing experience","Jul 28, 2023"
1,Shame on you,"Shame on you
4 hours on the phone and still no answer.
Unprofessional airlines.
I wonder why Algerian people are switching to other air lines .","Feb 14, 2023"
1,Les responsible de air algerie son des…,"Les responsible de air algerie son des fils de france come toujour . Les biller Paris alger 5 person et de €1400
London alger £3800 pour 5 person. Les meme Heure et date. Et tragé. Ce son des esclave des francaise maleureusment . Allah yarham chouhada qui sont batu pour libery not payé. Et les fils de harki qui a rendu l'algerie pour les francais Allah idalkoum","Feb 5, 2023"
1,It's a nightmare,"It's a nightmare, don't think it's goanna improve one day, made a lateness for more than 5 hours, no apology no food no accommodation no explanation and no sense of responsibility, Letterly it's a disastrous company in all aspects. This company needs to be completely erased from world skies networks.","Updated Nov 9, 2022"
1,The worst company in the galaxy,"The worst company in the world, for a flight from Montreal to Algiers that cost $2000 you will get :
1- Hostesses and stewards are rudes. 2- Menu : small portion of pasta with tuna and tiny portion of salade also pasta, everything tastes very awfull.
3- Seats are very dirty and the dinner table was broken.
4- No screens in the seats and the information screen was broken.

I will never travel with this company","Aug 15, 2022"
1,I bought a business cabin ticket from…,"I bought a business cabin ticket from Algiers to Montreal, i was expecting a real business class, it turned out seats are economy class with leather…. I was veeery pissed 😤","Apr 7, 2022"
1,The worst company in the planet,"The worst company in the planet, you can not book a ticket with knowing someone working there all system corrupted","Mar 28, 2022"
1,I want to change my ticket from…,I want to change my ticket from 27/12/2021 to 29/03/2022 the agency in baker street is close down they don't have the option to change it online where I change my ticket I am disappointed,"Dec 26, 2021"
5,Air Algérie London office,"We are so grateful to the guy who works @airalgérie London office, line 1
He helped us to book our interior flight
Thank you very much sir, you saved my husband's life and we're so grateful for your help and kindness.","Updated Jan 15, 2020"
1,i went to air algerie office at baker…,i went to air algerie office at baker street ask for ticket price they told me 220 pound i went to third part agency the price is 195 pound i don't know whats going on,"Apr 18, 2019"
2,Need to perform new system for its…,"Need to perform new system for its Loyalty program
Weak customer service experience in airport
Need to enhance its website services","Sep 7, 2018"
5,Good service and good price comparing…,Good service and good price comparing to other companies. The best option to visit this wonderful country witch is Algeria.,"Mar 1, 2018"
5,no airlines offer the same time and …,no airlines offer the same time and service really pleased with that thank you Air algerie,"Jul 1, 2017"
